East Camberwell Station (Camberwell),-,5:08,5:38,-,6:08,6:38,-,7:08,7:39,-,7:59,8:19,-,8:39,8:59,-,9:19,9:39,-,9:59,10:09,10:19,10:29,10:39,10:49,10:59,11:09,11:19,11:29,11:39,11:49,11:59,12:09,12:19,12:29,12:39,12:49,12:59,13:09,13:19,13:29,13:39,13:49,13:59,14:09,14:19,14:29,14:39,14:49,14:59,15:09,15:19,15:29,15:39,15:49,15:59,16:09,16:19,16:29,16:39,16:49,16:59,17:09,17:19,17:29,17:39,17:49,17:59,18:09,18:19,18:29,18:39,18:49,18:59,-,19:18,19:38,-,20:02,-,-,20:32,-,21:02,21:32,-,22:02,22:32,-,23:02,23:32,-,0:02,-,-
Camberwell Station (Camberwell),-,5:10,5:40,-,6:10,6:40,-,7:10,7:41,-,8:01,8:21,-,8:41,9:01,-,9:21,9:41,-,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,16:51,17:01,17:11,17:21,17:31,17:41,17:51,18:01,18:11,18:21,18:31,18:41,18:51,19:01,-,19:20,19:40,-,20:04,-,-,20:34,-,21:04,21:34,-,22:04,22:34,-,23:04,23:34,-,0:04,-,-
Auburn Station (Hawthorn East),-,5:12,5:42,-,6:12,6:42,-,7:12,7:43,-,8:03,8:23,-,8:43,9:03,-,9:23,9:43,-,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:23,17:33,17:43,17:53,18:03,18:13,18:23,18:33,18:43,18:53,19:03,-,19:22,19:42,-,20:06,-,-,20:36,-,21:06,21:36,-,22:06,22:36,-,23:06,23:36,-,0:06,-,-
Glenferrie Station (Hawthorn),-,5:14,5:44,-,6:14,6:44,-,7:14,7:45,-,8:05,8:25,-,8:45,9:05,-,9:25,9:45,-,10:05,10:15,10:25,10:35,10:45,10:55,11:05,11:15,11:25,11:35,11:45,11:55,12:05,12:15,12:25,12:35,12:45,12:55,13:05,13:15,13:25,13:35,13:45,13:55,14:05,14:15,14:25,14:35,14:45,14:55,15:05,15:15,15:25,15:35,15:45,15:55,16:05,16:15,16:25,16:35,16:45,16:55,17:05,17:15,17:25,17:35,17:45,17:55,18:05,18:15,18:25,18:35,18:45,18:55,19:05,-,19:24,19:44,-,20:08,-,-,20:38,-,21:08,21:38,-,22:08,22:38,-,23:08,23:38,-,0:08,-,-
Hawthorn Station (Hawthorn),-,5:16,5:46,-,6:16,6:46,-,7:16,7:47,-,8:07,8:27,-,8:47,9:07,-,9:27,9:47,-,10:07,10:17,10:27,10:37,10:47,10:57,11:07,11:17,11:27,11:37,11:47,11:57,12:07,12:17,12:27,12:37,12:47,12:57,13:07,13:17,13:27,13:37,13:47,13:57,14:07,14:17,14:27,14:37,14:47,14:57,15:07,15:17,15:27,15:37,15:47,15:57,16:07,16:17,16:27,16:37,16:47,16:57,17:07,17:17,17:27,17:37,17:47,17:57,18:07,18:17,18:27,18:37,18:47,18:57,19:07,-,19:26,19:46,-,20:10,-,-,20:40,-,21:10,21:40,-,22:10,22:40,-,23:10,23:40,-,0:10,-,-
Burnley Station (Burnley),-,5:19,5:49,-,6:19,6:49,-,7:19,7:50,-,8:10,8:30,-,8:50,9:10,-,9:30,9:50,-,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:50,19:00,19:10,-,19:29,19:49,-,20:13,-,-,20:43,-,21:13,21:43,-,22:13,22:43,-,23:13,23:43,-,0:13,-,-
Richmond Station (Richmond),-,5:22,5:52,-,6:22,6:52,-,7:22,7:53,-,8:13,8:33,-,8:53,9:13,-,9:33,9:53,-,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,17:03,17:13,17:23,17:33,17:43,17:53,18:03,18:13,18:23,18:33,18:43,18:53,19:03,19:13,-,19:32,19:52,-,20:16,-,-,20:46,-,21:16,21:46,-,22:16,22:46,-,23:16,23:46,-,0:16,-,-
Flinders Street Station (Melbourne City),-,5:26,5:56,-,6:26,6:56,-,7:26,7:57,-,8:17,8:37,-,8:57,9:17,-,9:37,9:57,-,10:17,10:27,10:37,10:47,10:57,11:07,11:17,11:27,11:37,11:47,11:57,12:07,12:17,12:27,12:37,12:47,12:57,13:07,13:17,13:27,13:37,13:47,13:57,14:07,14:17,14:27,14:37,14:47,14:57,15:07,15:17,15:27,15:37,15:47,15:57,16:07,16:17,16:27,16:37,16:47,16:57,17:07,17:17,17:27,17:37,17:47,17:57,18:07,18:17,18:27,18:37,18:47,18:57,19:07,19:17,-,19:36,19:56,-,20:20,-,-,20:50,-,21:20,21:50,-,22:20,22:50,-,23:20,23:50,-,0:20,-,-
Flinders Street Station (Melbourne City),-,5:29,6:14,-,6:39,6:59,-,7:39,7:59,-,8:19,8:39,-,8:59,9:19,-,9:39,9:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Southern Cross Station (Melbourne City),-,5:32,6:17,-,6:42,7:02,-,7:42,8:02,-,8:22,8:42,-,9:02,9:22,-,9:42,10:02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melbourne Central Station (Melbourne City),-,5:35,6:20,-,6:45,7:05,-,7:45,8:05,-,8:25,8:45,-,9:05,9:25,-,9:45,10:05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Parliament Station (Melbourne City),-,5:37,6:22,-,6:47,7:07,-,7:47,8:07,-,8:27,8:47,-,9:07,9:27,-,9:47,10:07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
